identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;departement;localite;pays;wgs84;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;bornes_de_rechargement_moneo;affranchissement_libre_service;distributeur_pret_a_poster;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_presence_d_une_bande_de_guidage_au_sol
14982A;LE MESNIL LE ROI BP;Bureau de poste;AVENUE DE POISSY;CENTRE COMMERCIAL;;78600;78;LE MESNIL LE ROI;FRANCE;48.942397, 2.125278;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14986A;MONTALET LE BOIS AP;Agence postale;2 RUE EGLISE;;;78440;78;MONTALET LE BOIS;FRANCE;49.045995, 1.825776;Géocodé au numéro;134753835;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14991A;NEAUPHLE LE CHATEAU;Bureau de poste;11 RUE MARIUS MINNARD;;;78640;78;NEAUPHLE LE CHATEAU;FRANCE;48.8149, 1.904837;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui
14996A;ORGEVAL;Bureau de poste;23 RUE DE FEUCHEROLLES;;;78630;78;ORGEVAL;FRANCE;48.9186, 1.975578;Géocodé au numéro;3631;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14998A;LE RELAIS DU CLAIR DE LUNE AP;Relais poste commerçant;PLACE  GEORGES POMPIDOU;;;78910;78;ORVILLIERS;FRANCE;48.8581, 1.641839;Géocodé au centre de la commune;134942094;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
15004A;LE PORT MARLY BP;Bureau de poste;9 AVENUE SIMON VOUET;;;78560;78;LE PORT MARLY;FRANCE;48.878394, 2.111859;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
15005A;LA QUEUE LES YVELINES BP;Bureau de poste;2 RUE DE LA GARE;;;78940;78;LA QUEUE LES YVELINES;FRANCE;48.80617, 1.767559;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non
15013A;SAINT NOM LA BRETECHE BP;Bureau de poste;2 RUE MICHEL PEROT;;;78860;78;ST NOM LA BRETECHE;FRANCE;48.86, 2.022216;Géocodé au numéro;3631;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
15019A;THIVERVAL GRIGNON AP;Agence postale;;AVENUE LUCIEN BRETIGNIERES;;78850;78;THIVERVAL GRIGNON;FRANCE;48.850597, 1.916646;Géocodé au centre de la commune;130544500;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
15022A;TRAPPES;Bureau de poste;2 RUE LEO LAGRANGE;;;78190;78;TRAPPES;FRANCE;48.777194, 1.98634;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
15050A;VERSAILLES MONTREUIL;Bureau de poste;53 RUE CHAMP LAGARDE;;;78000;78;VERSAILLES;FRANCE;48.802491, 2.152625;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
15054A;POISSY BEAUREGARD BP;Bureau de poste;24 AVENUE DU MARECHAL LYAUTEY;;;78300;78;POISSY;FRANCE;48.9214, 2.02858;Géocodé au numéro;3631;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui
15055A;POISSY NOAILLES BP;Bureau de poste;59 BVD ROBESPIERRE;;;78300;78;POISSY;FRANCE;48.933594, 2.053388;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
15058A;MARLY LE ROI GRANDES TERRES;Bureau de poste;CCAL DES GRANDES TERRES;;;78160;78;MARLY LE ROI;FRANCE;48.879395, 2.099918;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Oui
15070A;MEULAN PARADIS BP;Bureau de poste;6 RUE DE LA FERME DU PARADIS;;;78250;78;MEULAN;FRANCE;49.011998, 1.917657;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
15072A;SAINT QUENTIN EN YVELINES;Bureau de poste;18 AVENUE DU CENTRE;;;78180;78;MONTIGNY LE BRETONNEUX;FRANCE;48.785796, 2.046578;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui
15078A;VELIZY VILLACOUBLAY LOUVOIS BP;Bureau de poste;40 PLACE LOUVOIS;;;78140;78;VELIZY VILLACOUBLAY;FRANCE;48.781097, 2.196739;Géocodé au milieu d un îlot;3631;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
16005B;RELAIS POSTE L ETANG AUTOMOBILE AP;Relais poste commerçant;231 ROUTE DEPARTEMENTALE;L ETANG AUTOMOBILE;;77141;77;VAUDOY EN BRIE;FRANCE;48.688758, 3.080569;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16911A;AUTHON LA PLAINE AP;Relais poste commerçant;17 GRANDE RUE;;;91410;91;AUTHON LA PLAINE;FRANCE;48.451595, 1.957278;Géocodé au numéro;164955941;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16925A;BOUTIGNY SUR ESSONNE BP;Bureau de poste;4 PLACE DU GENERAL DE GAULLE;;;91820;91;BOUTIGNY SUR ESSONNE;FRANCE;48.435414, 2.376612;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16931A;BRUYERES LE CHATEL BP;Bureau de poste;52 RUE DU PRE D ARNY;;;91680;91;BRUYERES LE CHATEL;FRANCE;48.592896, 2.191771;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16932A;BURES SUR YVETTE BP;Bureau de poste;40 B RUE CHARLES DE GAULLE;;;91440;91;BURES SUR YVETTE;FRANCE;48.697192, 2.163658;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
16936A;CHAMPCUEIL BP;Bureau de poste;3 ROUTE DE CHEVANNES;;;91750;91;CHAMPCUEIL;FRANCE;48.515265, 2.444626;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16946A;ETAMPES;Bureau de poste;9 PLACE DE L HOTEL DE VILLE;;;91150;91;ETAMPES;FRANCE;48.434194, 2.161786;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
16952A;GIF SUR YVETTE;Bureau de poste;29 RUE HENRI AMODRU;;;91190;91;GIF SUR YVETTE;FRANCE;48.702195, 2.132598;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
16956A;ITTEVILLE BP;Bureau de poste;69 B RUE SAINT GERMAIN;;;91760;91;ITTEVILLE;FRANCE;48.514865, 2.341384;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16958A;LARDY BP;Bureau de poste;4 AVENUE DU MARECHAL FOCH;;;91510;91;LARDY;FRANCE;48.521073, 2.264438;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non
16959A;LIMOURS;Bureau de poste;13 AVENUE DE CHAMBORD;;;91470;91;LIMOURS;FRANCE;48.646014, 2.072712;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui
16960A;LINAS BP;Bureau de poste;PLACE ERNEST PILLON;;;91310;91;LINAS;FRANCE;48.631293, 2.266441;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16976A;NOZAY BP;Bureau de poste;PLACE DE LA MAIRIE;;;91620;91;NOZAY;FRANCE;48.659893, 2.236958;Géocodé au centre de la commune;3631;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16977A;ORSAY;Bureau de poste;24 RUE DE PARIS;;;91400;91;ORSAY;FRANCE;48.697693, 2.188029;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui
16980A;LE PLESSIS PATE AP;Agence postale;CCAL LES ARCADES DU CLOS;;;91220;91;LE PLESSIS PATE;FRANCE;48.611394, 2.3248;Géocodé au numéro;160851716;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16987A;ST GERMAIN LES ARPAJON BP;Bureau de poste;2 RUE DE CHANTELOUP;;;91180;91;ST GERMAIN LES ARPAJON;FRANCE;48.595797, 2.255186;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui
16988A;SAINT GERMAIN LES CORBEIL;Bureau de poste;1 RUE DE LA TUILERIE;;;91250;91;ST GERMAIN LES CORBEIL;FRANCE;48.619897, 2.489937;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Oui
16990A;ST PIERRE DU PERRAY BP;Bureau de poste;40 AVENUE COLETTE;;;91280;91;ST PIERRE DU PERRAY;FRANCE;48.615095, 2.504456;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui
16993A;SAINT VRAIN BP;Bureau de poste;2 RUE DE LA LIBERATION;;;91770;91;ST VRAIN;FRANCE;48.541978, 2.332898;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
16999A;VERT LE GRAND BP;Bureau de poste;5 RUE DE LA POSTE;;;91810;91;VERT LE GRAND;FRANCE;48.57156, 2.360055;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17000A;VERT LE PETIT BP;Bureau de poste;PLACE DE LA MAIRIE;;;91710;91;VERT LE PETIT;FRANCE;48.550775, 2.366775;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17001A;VIDELLES AP;Agence postale;20 RUE D EN BAS;;;91890;91;VIDELLES;FRANCE;48.464095, 2.433666;Géocodé au numéro;164983018;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17011A;CHILLY MAZARIN SUD BP;Bureau de poste;61 RUE DE GRAVIGNY;;;91380;91;CHILLY MAZARIN;FRANCE;48.695194, 2.308378;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui
17024A;ORSAY MONDETOUR AP;Agence postale;BOULEVARD DE MONDETOUR;;;91400;91;ORSAY;FRANCE;48.683098, 2.18332;Géocodé au numéro;169288745;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17033A;MONTGERON A AP;Agence postale;PLACE DU SOLEIL;;;91230;91;MONTGERON;FRANCE;48.703096, 2.442327;Géocodé au milieu de la rue;169034270;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17034A;SAVIGNY GRANDE RUE BP;Bureau de poste;8 GRANDE RUE;;;91600;91;SAVIGNY SUR ORGE;FRANCE;48.676293, 2.354699;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non
17036A;ATHIS MONS NOYER RENARD BP;Bureau de poste;RUE DES FROIDES BOUILLIES;;;91200;91;ATHIS MONS;FRANCE;48.705495, 2.364162;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non
17051A;ETAMPES GUINETTE BP;Bureau de poste;AVENUE DES MEUNIERS;;;91150;91;ETAMPES;FRANCE;48.435785, 2.146561;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17052A;SAINTE GENEVIEVE DES BOIS GARE BP;Bureau de poste;68 AVENUE GABRIEL PERI;;;91700;91;STE GENEVIEVE DES BOIS;FRANCE;48.649192, 2.319731;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
17056A;MASSY VILLAINE BP;Bureau de poste;6 ALLEE ALBERT THOMAS;;;91300;91;MASSY;FRANCE;48.734903, 2.262065;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non
17057A;ST MICHEL S ORGE BOIS DES ROCHES BP;Bureau de poste;PLACE BERLIOZ;CENTRE COMMERCIAL BOIS ROCHES;;91240;91;ST MICHEL SUR ORGE;FRANCE;48.636392, 2.322108;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17061A;DRAVEIL LES MOUSSEAUX AP;Agence postale;AVENUE DE SULLY;;;91210;91;DRAVEIL;FRANCE;48.692998, 2.412151;Géocodé au numéro;169036784;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17067A;BOULOGNE BILLANCOURT PRINCIPAL;Bureau de poste;231 ALLEE DU FORUM;;;92100;92;BOULOGNE BILLANCOURT;FRANCE;48.828698, 2.232808;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17070A;CHATENAY MALABRY PRINCIPAL;Bureau de poste;78 RUE JEAN LONGUET;;;92290;92;CHATENAY MALABRY;FRANCE;48.768097, 2.279689;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui
17075A;COLOMBES;Bureau de poste;40 RUE JULIEN GALLE;;;92700;92;COLOMBES;FRANCE;48.922798, 2.259307;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17077A;FONTENAY AUX ROSES;Bureau de poste;99 RUE BOUCICAUT;;;92260;92;FONTENAY AUX ROSES;FRANCE;48.792197, 2.285077;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui
17080A;GENNEVILLIERS CENTRE;Bureau de poste;23 AVENUE DE LA LIBERATION;CENTRE ADMINISTRATIF ET COMMERCIAL;;92230;92;GENNEVILLIERS;FRANCE;48.924792, 2.293059;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17089A;NEUILLY BINEAU BP;Bureau de poste;149 BOULEVARD BINEAU;;;92200;92;NEUILLY SUR SEINE;FRANCE;48.889993, 2.270941;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
17093A;SAINT CLOUD PRINCIPAL;Bureau de poste;15 BOULEVARD DE LA REPUBLIQUE;;;92210;92;ST CLOUD;FRANCE;48.844392, 2.207258;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
17096A;SURESNES HOTEL DE VILLE;Bureau de poste;1 RUE FIZEAU;;;92150;92;SURESNES;FRANCE;48.869998, 2.225559;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17097A;VANVES HOTEL DE VILLE;Bureau de poste;1 AVENUE MARCEL MARTINIE;;;92170;92;VANVES;FRANCE;48.8207, 2.290561;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17099A;VILLE D AVRAY;Bureau de poste;2 RUE DE VERSAILLES;;;92410;92;VILLE D AVRAY;FRANCE;48.826592, 2.18815;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17102A;ASNIERES BOURGUIGNONS BP;Bureau de poste;186 BOULEVARD VOLTAIRE;;;92600;92;ASNIERES SUR SEINE;FRANCE;48.918497, 2.282878;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
17104A;ASNIERES QUATRE ROUTES;Bureau de poste;83 RUE DES MOURINOUX;;;92600;92;ASNIERES SUR SEINE;FRANCE;48.931093, 2.275376;Géocodé au numéro;3631;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17110A;COURBEVOIE BECON;Bureau de poste;3 PLACE DE BELGIQUE;;;92400;92;COURBEVOIE;FRANCE;48.903498, 2.267516;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
17115A;ISSY LES MOULINEAUX OUEST;Bureau de poste;23 ALLEE SAINTE LUCIE;;;92130;92;ISSY LES MOULINEAUX;FRANCE;48.820193, 2.25158;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
17119A;CLICHY VENDOME;Bureau de poste;106 RUE MARTRE;;;92110;92;CLICHY;FRANCE;48.904898, 2.304432;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17129A;SURESNES CITE JARDINS;Bureau de poste;PLACE DE LA PAIX;;;92150;92;SURESNES;FRANCE;48.864397, 2.206009;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
17133A;CLAMART LA FOURCHE;Bureau de poste;1 RUE PIERRE BAUDRY;;;92140;92;CLAMART;FRANCE;48.811496, 2.271735;Géocodé au numéro;3631;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui
17135A;COLOMBES ARAGON;Bureau de poste;158 BOULEVARD CHARLES DE GAULLE;;;92700;92;COLOMBES;FRANCE;48.915296, 2.228297;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui
17137A;LEVALLOIS PERRET EIFFEL BP;Bureau de poste;22BIS RUE D ALSACE;;;92300;92;LEVALLOIS PERRET;FRANCE;48.891595, 2.295745;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17147A;GENNEVILLIERS LE LUTH BP;Bureau de poste;AVENUE DU LUTH;CENTRE COMMERCIAL;;92230;92;GENNEVILLIERS;FRANCE;48.933193, 2.29001;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
17153A;MEUDON LA FORET;Bureau de poste;1 RUE DE LA POSTE;;;92360;92;MEUDON LA FORET;FRANCE;48.786892, 2.228947;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17169A;RUEIL MALMAISON PLATEAU;Bureau de poste;PLACE DES MAITRES VIGNERONS;;;92500;92;RUEIL MALMAISON;FRANCE;48.872794, 2.192581;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
17182A;BAGNOLET PRINCIPAL;Bureau de poste;37 RUE ADELAIDE LAHAYE;;;93170;93;BAGNOLET;FRANCE;48.867094, 2.416068;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui
17184A;BOBIGNY RECETTE PRINCIPALE;Bureau de poste;1 RUE PABLO PICASSO;;;93000;93;BOBIGNY;FRANCE;48.907599, 2.449437;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
17190A;DRANCY;Bureau de poste;12 AVENUE JEAN JAURES;;;93700;93;DRANCY;FRANCE;48.921792, 2.44719;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui
17192A;EPINAY SUR SEINE PRINCIPAL;Bureau de poste;29 RUE DE PARIS;;;93800;93;EPINAY SUR SEINE;FRANCE;48.952899, 2.312548;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non
17194A;GOURNAY SUR MARNE BP;Bureau de poste;30 AVENUE DU MARECHAL JOFFRE;;;93460;93;GOURNAY SUR MARNE;FRANCE;48.862391, 2.577929;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Non
17196A;LES LILAS;Bureau de poste;4 BOULEVARD DE LA LIBERTE;;;93260;93;LES LILAS;FRANCE;48.879595, 2.416496;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
17201A;NEUILLY SUR MARNE PRINCIPAL;Bureau de poste;4 BOULEVARD DE LA REPUBLIQUE;;;93330;93;NEUILLY SUR MARNE;FRANCE;48.857692, 2.527919;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17207A;LES PAVILLONS SOUS BOIS;Bureau de poste;19 ALLEE ROBILLARD;;;93320;93;LES PAVILLONS SOUS BOIS;FRANCE;48.905394, 2.505696;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17208A;PIERREFITTE SUR SEINE;Bureau de poste;37 BOULEVARD JEAN MERMOZ;;;93380;93;PIERREFITTE SUR SEINE;FRANCE;48.965795, 2.36333;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17215A;SEVRAN PRINCIPAL;Bureau de poste;5 AVENUE HENRI DUNANT;;;93270;93;SEVRAN;FRANCE;48.938395, 2.523388;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17217A;TREMBLAY EN FRANCE;Bureau de poste;2 BOULEVARD DE L HOTEL DE VILLE;;;93290;93;TREMBLAY EN FRANCE;FRANCE;48.950593, 2.567887;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui
17227A;SAINT DENIS CASANOVA BP;Bureau de poste;65 RUE DANIELLE CASANOVA;;;93200;93;ST DENIS;FRANCE;48.926396, 2.366746;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17236A;PANTIN LES LIMITES BP;Bureau de poste;188 AVENUE JEAN LOLIVE;;;93500;93;PANTIN;FRANCE;48.894995, 2.42234;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
