identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;departement;localite;pays;wgs84;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;bornes_de_rechargement_moneo;affranchissement_libre_service;distributeur_pret_a_poster;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_presence_d_une_bande_de_guidage_au_sol
14933A;COIGNIERES BP;Bureau de poste;CENTRE COMMERCIAL LE VILLAGE C;;;78310;78;COIGNIERES;FRANCE;48.750299, 1.919157;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14939A;DAMPIERRE EN YVELINES AP;Relais poste commerçant;12 GRAND RUE;;;78720;78;DAMPIERRE EN YVELINES;FRANCE;48.706695, 1.98831;Géocodé au numéro;130525387;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14947A;FLINS SUR SEINE BP;Bureau de poste;1 RUE CHARLES DE GAULLE;;;78410;78;FLINS SUR SEINE;FRANCE;48.964824, 1.870609;Géocodé au numéro;3631;Non;Oui;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
14950A;FOURQUEUX AP;Agence postale;13 RUE DE SAINT NOM;;;78112;78;FOURQUEUX;FRANCE;48.885795, 2.062889;Géocodé au numéro;139046861;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14961A;HOUDAN;Bureau de poste;198 RUE DES CLOS DE L ECU;;;78550;78;HOUDAN;FRANCE;48.792339, 1.603692;Géocodé au numéro;3631;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Oui;Oui;Oui
14969A;LONGNES AP;Agence postale;2 RUE TOURELLES;;;78980;78;LONGNES;FRANCE;48.920195, 1.58707;Géocodé au centre de la commune;130425068;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17106A;BOULOGNE BILLANCOURT SUD;Bureau de poste;243 B BOULEVARD JEAN JAURES;;;92100;92;BOULOGNE BILLANCOURT;FRANCE;48.828898, 2.24623;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
17116A;VILLENEUVE LA GARENNE APC;Agence postale;24 RUE DU FOND DE LA NOUE;;;92390;92;VILLENEUVE LA GARENNE;FRANCE;48.931396, 2.331327;Géocodé au numéro;147984577;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17150A;MEUDON BELLEVUE BP;Bureau de poste;42 ROUTE DES GARDES;;;92190;92;MEUDON;FRANCE;48.817595, 2.229468;Géocodé au numéro;3631;Oui;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui
17152A;SAINT CLOUD VILLAGE BP;Bureau de poste;12 PLACE DE SILLY;;;92210;92;ST CLOUD;FRANCE;48.844197, 2.218628;Géocodé au numéro;3631;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non
17154A;ANTONY BRIAND;Bureau de poste;63 T AVENUE ARISTIDE BRIAND;;;92160;92;ANTONY;FRANCE;48.757897, 2.306468;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Oui
17155A;NEUILLY SABLONS;Bureau de poste;4 RUE LOUIS PHILIPPE;;;92200;92;NEUILLY SUR SEINE;FRANCE;48.881797, 2.271497;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17161A;VANVES PLATEAU BP;Bureau de poste;38 RUE JEAN JAURES;;;92170;92;VANVES;FRANCE;48.825321, 2.294232;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui
17163A;FONTENAY SCARRON BP;Bureau de poste;RUE SCARRON;RUES DES FAUVETTES ET BENARD LOT C 5;;92260;92;FONTENAY AUX ROSES;FRANCE;48.790997, 2.297729;Géocodé au milieu d un îlot;3631;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Oui
17164A;COEUR DE DEFENSE BP;Bureau de poste;LA DEFENSE;GARE EMPLACEMENT 17 90 61;;92800;92;PUTEAUX;FRANCE;48.892594, 2.237191;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non
17188A;COUBRON BP;Bureau de poste;1 PLACE DE VERDUN;;;93470;93;COUBRON;FRANCE;48.9153, 2.577698;Géocodé au numéro;3631;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17205A;SEVRAN SPORTISSE;Bureau de poste;3 RUE LUCIEN SPORTISS;;;93270;93;SEVRAN;FRANCE;48.936394, 2.532957;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17212A;ROSNY SOUS BOIS PRINCIPAL;Bureau de poste;60 RUE JEAN PIERRE TIMBAUD;;;93110;93;ROSNY SOUS BOIS;FRANCE;48.870794, 2.484439;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui
17216A;STAINS PRINCIPAL;Bureau de poste;29 AVENUE LOUIS BORDES;;;93240;93;STAINS;FRANCE;48.955399, 2.38464;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui
17218A;VAUJOURS BP;Bureau de poste;76 RUE DE MEAUX;;;93410;93;VAUJOURS;FRANCE;48.934891, 2.568867;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non
17219A;VILLEMOMBLE;Bureau de poste;31 GRANDE RUE;;;93250;93;VILLEMOMBLE;FRANCE;48.883591, 2.511648;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17221A;VILLETANEUSE BP;Bureau de poste;7 RUE DU 19 MARS 1962;;;93430;93;VILLETANEUSE;FRANCE;48.962194, 2.343402;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
17232A;AULNAY SUD BP;Bureau de poste;33 AVENUE D ALIGRE;;;93600;93;AULNAY SOUS BOIS;FRANCE;48.922845, 2.497394;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17235A;MONTREUIL SUEUR;Bureau de poste;172 B BOULEVARD THEOPHILE SUEUR;;;93100;93;MONTREUIL;FRANCE;48.863993, 2.466806;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui
17238A;ST DENIS LA PLAINE BP;Bureau de poste;154 B AVENUE DU PRESIDENT WILSON;;;93210;93;LA PLAINE ST DENIS;FRANCE;48.910499, 2.358529;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
17254A;ROSNY SOUS BOIS PERRIER BP;Bureau de poste;37 RUE PHILIBERT HOFFMANN;;;93110;93;ROSNY SOUS BOIS;FRANCE;48.8812, 2.485899;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
17274A;AULNAY SOUS BOIS GALION;Bureau de poste;CENTRE COMMERCIAL GALION;GALERIE SURCOUF;;93600;93;AULNAY SOUS BOIS;FRANCE;48.954391, 2.49891;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Oui;Oui
17277A;SAINT DENIS BARBUSSE DIEZ;Bureau de poste;2 RUE HENRI BARBUSSE;;;93200;93;ST DENIS;FRANCE;48.937592, 2.372087;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Oui;Oui
17289A;NOISY LE GRAND ARCADES;Bureau de poste;RUE DES ARCADES;CENTRE COMMERCIAL DES ARCADES;;93160;93;NOISY LE GRAND;FRANCE;48.839497, 2.546397;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
17295A;BOISSY ST LEGER;Bureau de poste;PLACE DU FORUM;;;94470;94;BOISSY ST LEGER;FRANCE;48.753893, 2.502295;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
17300A;CHARENTON LE PONT;Bureau de poste;57 RUE DE PARIS;;;94220;94;CHARENTON LE PONT;FRANCE;48.819999, 2.415316;Géocodé au numéro;3631;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Oui
17305A;LA VARENNE CHAMPIGNOL BP;Bureau de poste;114 BOULEVARD DE CHAMPIGNY;;;94210;94;LA VARENNE ST HILAIRE;FRANCE;48.807793, 2.509461;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
